,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001015,Male,Yes,0,Graduate,No,5720,0,110.0,360.0,1.0,Urban,1
1,LP001022,Male,Yes,1,Graduate,No,3076,1500,126.0,360.0,1.0,Urban,1
2,LP001031,Male,Yes,2,Graduate,No,5000,1800,208.0,360.0,1.0,Urban,1
3,LP001035,Male,Yes,2,Graduate,No,2340,2546,100.0,360.0,1.0,Urban,1
4,LP001051,Male,No,0,Not Graduate,No,3276,0,78.0,360.0,1.0,Urban,1
5,LP001054,Male,Yes,0,Not Graduate,Yes,2165,3422,152.0,360.0,1.0,Urban,1
6,LP001055,Female,No,1,Not Graduate,No,2226,0,59.0,360.0,1.0,Semiurban,1
7,LP001056,Male,Yes,2,Not Graduate,No,3881,0,147.0,360.0,0.0,Rural,0
8,LP001067,Male,No,0,Not Graduate,No,2400,2400,123.0,360.0,1.0,Semiurban,1
9,LP001078,Male,No,0,Not Graduate,No,3091,0,90.0,360.0,1.0,Urban,1
10,LP001083,Male,No,3+,Graduate,No,4166,0,40.0,180.0,1.0,Urban,1
11,LP001096,Female,No,0,Graduate,No,4666,0,124.0,360.0,1.0,Semiurban,1
12,LP001099,Male,No,1,Graduate,No,5667,0,131.0,360.0,1.0,Urban,1
13,LP001105,Male,Yes,2,Graduate,No,4583,2916,200.0,360.0,1.0,Urban,1
14,LP001107,Male,Yes,3+,Graduate,No,3786,333,126.0,360.0,1.0,Semiurban,1
15,LP001108,Male,Yes,0,Graduate,No,9226,7916,300.0,360.0,1.0,Urban,1
16,LP001115,Male,No,0,Graduate,No,1300,3470,100.0,180.0,1.0,Semiurban,1
17,LP001121,Male,Yes,1,Not Graduate,No,1888,1620,48.0,360.0,1.0,Urban,1
18,LP001124,Female,No,3+,Not Graduate,No,2083,0,28.0,180.0,1.0,Urban,1
19,LP001135,Female,No,0,Not Graduate,No,3765,0,125.0,360.0,1.0,Urban,1
20,LP001149,Male,Yes,0,Graduate,No,5400,4380,290.0,360.0,1.0,Urban,1
21,LP001153,Male,No,0,Graduate,No,0,24000,148.0,360.0,0.0,Rural,0
