,Female,Male,Not_Married,Married,No_Dependent,1_Dependent,2_Dependents,3+_Dependents,Graduate,Not_Graduate,Not_Self_Employed,Self_Employed,Rural,Semiurban,Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5849,0.0,146.41216216216216,360.0,1.0,1
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,4583,1508.0,128.0,360.0,1.0,0
2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,3000,0.0,66.0,360.0,1.0,1
3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,2583,2358.0,120.0,360.0,1.0,1
4,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,6000,0.0,141.0,360.0,1.0,1
5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,5417,4196.0,267.0,360.0,1.0,1
6,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,2333,1516.0,95.0,360.0,1.0,1
7,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3036,2504.0,158.0,360.0,0.0,0
8,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4006,1526.0,168.0,360.0,1.0,1
9,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12841,10968.0,349.0,360.0,1.0,0
10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3200,700.0,70.0,360.0,1.0,1
11,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3073,8106.0,200.0,360.0,1.0,1
12,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1853,2840.0,114.0,360.0,1.0,0
13,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1299,1086.0,17.0,120.0,1.0,1
14,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4950,0.0,125.0,360.0,1.0,1
15,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3596,0.0,100.0,240.0,1.0,1
